# Snapshot of 437 maduin ERT invariants.
# Regenerate rows: git -C /Users/FreezingSnail/code/maduin show b7f75b2eb270747ec79b8669913d5199b9c48565:harness/maduin-test.el | awk '/^\(ert-deftest maduin-test-/{name=$2; domain=name; sub(/^maduin-test-/, "", domain); sub(/-.*/, "", domain); print name "\t" domain "\t" NR}'
# total: 437
maduin-test-dispatch-recover-redispatches-orphans	dispatch	3214
maduin-test-dispatch-start-stop-timer	dispatch	3235
maduin-test-dispatch-soft-stop-drains	dispatch	3249
maduin-test-dispatch-hard-stop-deletes	dispatch	3284
maduin-test-dispatch-undecomposed-epics	dispatch	3306
maduin-test-dispatch-undecomposed-epics-none-open	dispatch	3318
maduin-test-designer-functions-exist	designer	3329
maduin-test-designer-repo-resolution	designer	3338
maduin-test-designer-prompts-are-repo-scoped	designer	3354
maduin-test-designer-design-and-epic-dispatch-repo	designer	3372
maduin-test-designer-nil-repo-refuses-without-io	designer	3389
maduin-test-designer-drop-in-delegates-repo	designer	3407
maduin-test-designer-decompose-selects-only-chosen-repo	designer	3421
maduin-test-designer-interactive-repo-failure-opens-nothing	designer	3446
maduin-test-concierge-functions-exist	concierge	3459
maduin-test-concierge-model-resolution	concierge	3464
maduin-test-concierge-repo-resolution	concierge	3470
maduin-test-concierge-summon	concierge	3496
maduin-test-concierge-dismiss	concierge	3513
maduin-test-concierge-prompt-template	concierge	3521
maduin-test-main-interactive-commands	main	3533
maduin-test-main-keymap-bindings	main	3543
maduin-test-main-start-zero-sessions	main	3551
maduin-test-main-stop-tears-down	main	3569
maduin-test-main-start-empty-registry-refuses	main	3584
maduin-test-main-bootstrap-empty-registry-hints-bd-init	main	3593
maduin-test-main-stop-tears-down-active-repos	main	3603
maduin-test-review-verdict-approved	review	3625
maduin-test-review-verdict-drift	review	3630
maduin-test-review-verdict-garbage	review	3637
maduin-test-review-blocked-p	review	3648
maduin-test-dispatch-complete-reviewer-parses-verdict	dispatch	3697
maduin-test-dispatch-ready-holds-fleet-for-rework	dispatch	3722
maduin-test-kiro-agent-files-cover-configured-roles	kiro	3770
maduin-test-kiro-agent-json-and-prompt-integrity	kiro	3780
maduin-test-install-script-wires-kiro-agents	install	3804
maduin-test-planner-designer-requires-luna-executable-children	planner	3807
maduin-test-backend-register-get-and-reject-malformed	backend	3850
maduin-test-backend-resolve-priority-and-unknown-selection	backend	3860
maduin-test-backend-missing-executable-does-not-dispatch	backend	3877
maduin-test-backend-run-forwards-effort	backend	3893
maduin-test-backend-run-nil-effort	backend	3904
maduin-test-backend-tui-forwards-effort	backend	3915
maduin-test-backend-unknown-backend-still-nil	backend	3926
maduin-test-kiro-run-command-nil-effort-unchanged	kiro	3933
maduin-test-kiro-run-command-with-effort	kiro	3941
maduin-test-kiro-effort-valid-p-allowlist	kiro	3949
maduin-test-kiro-run-command-invalid-effort-omitted	kiro	3956
maduin-test-kiro-run-invalid-model-still-refuses	kiro	3966
maduin-test-kiro-run-uses-required-argv-and-workdir	kiro	3977
maduin-test-kiro-run-refuses-invalid-agent-and-model-without-spawn	kiro	4005
maduin-test-kiro-sentinel-rejects-false-success-and-hooks-once	kiro	4017
maduin-test-kiro-diff-includes-unstaged-staged-and-untracked	kiro	4046
maduin-test-check-sh-focused-modes-bypass-full-suite	check	4066
maduin-test-kiro-worker-forbids-interactive-test-commands	kiro	4082
maduin-test-kiro-delete-kills-local-state-only	kiro	4102
maduin-test-kiro-delete-terminates-descendants-before-parent	kiro	4119
maduin-test-dispatch-seat-backend-routing-records-backend	dispatch	4148
maduin-test-dispatch-sticky-backend-for-diff-and-delete	dispatch	4170
maduin-test-dispatch-spawn-failure-releases-claim	dispatch	4197
maduin-test-dispatch-format-kiro-diff-string	dispatch	4215
maduin-test-terminal-kiro-dismiss-never-exports-opencode	terminal	4220
maduin-test-kiro-tui-is-interactive-command-line	kiro	4266
maduin-test-cockpit-backend-active-and-idle-values	cockpit	4288
maduin-test-cockpit-toggle-backend-cycles-runtime-only	cockpit	4305
maduin-test-dispatch-decompose-epic-logs-at-cap	dispatch	4336
maduin-test-prompts-carry-bd-input-rules	prompts	4360
maduin-test-designer-decomposition-budget-is-bounded	designer	4382
maduin-test-designer-agent-avoids-micro-bead-rules	designer	4401
maduin-test-concierge-splits-oversized-ideas-into-epics	concierge	4416
maduin-test-designer-decompose-command-is-bound	designer	4434
maduin-test-no-shell-routed-subprocesses	no	4442
maduin-test-cockpit-render-signature-sees-column-changes	cockpit	4463
maduin-test-cockpit-crew-backend-repaints-table	cockpit	4473
maduin-test-cockpit-toggle-crew-backend	cockpit	4491
